file	destination	classification	blockers	workstreams
com/maddyhome/idea/vim/action/file/FilePreviousAction.kt	jvmMain	transitive(+1 via com/maddyhome/idea/vim/api/EngineEditorHelper.kt)	W4-java-io;W4-java-lang	W4
com/maddyhome/idea/vim/action/file/FileSaveCloseAction.kt	jvmMain	transitive(+1 via com/maddyhome/idea/vim/api/EngineEditorHelper.kt)	W4-java-io;W4-java-lang	W4
com/maddyhome/idea/vim/action/fold/FoldActions.kt	jvmMain	transitive(+1 via com/maddyhome/idea/vim/api/EngineEditorHelper.kt)	W4-java-io;W4-java-lang	W4
com/maddyhome/idea/vim/action/fold/FoldState.kt	jvmMain	transitive(+1 via com/maddyhome/idea/vim/api/EngineEditorHelper.kt)	W4-java-io;W4-java-lang	W4
com/maddyhome/idea/vim/action/macro/PlaybackRegisterAction.kt	jvmMain	transitive(+1 via com/maddyhome/idea/vim/api/EngineEditorHelper.kt)	W4-java-io;W4-java-lang	W4
com/maddyhome/idea/vim/action/macro/ToggleRecordingAction.kt	jvmMain	transitive(+1 via com/maddyhome/idea/vim/api/EngineEditorHelper.kt)	W4-java-io;W4-java-lang	W4
com/maddyhome/idea/vim/action/motion/changelist/MotionGotoChangeAction.kt	jvmMain	transitive(+1 via com/maddyhome/idea/vim/api/EngineEditorHelper.kt)	W4-java-io;W4-java-lang	W4
com/maddyhome/idea/vim/action/motion/gn/GnNextTextObject.kt	jvmMain	transitive(+1 via com/maddyhome/idea/vim/api/EngineEditorHelper.kt)	W4-java-io;W4-java-lang	W4
com/maddyhome/idea/vim/action/motion/gn/GnPreviousTextObject.kt	jvmMain	transitive(+1 via com/maddyhome/idea/vim/api/EngineEditorHelper.kt)	W4-java-io;W4-java-lang	W4
com/maddyhome/idea/vim/action/motion/gn/VisualSelectSearch.kt	jvmMain	direct	W4-java-util	W4
com/maddyhome/idea/vim/action/motion/leftright/MotionArrowLeftAction.kt	jvmMain	transitive(+1 via com/maddyhome/idea/vim/api/EngineEditorHelper.kt)	W4-java-io;W4-java-lang	W4
com/maddyhome/idea/vim/action/motion/leftright/MotionArrowRightAction.kt	jvmMain	transitive(+1 via com/maddyhome/idea/vim/api/EngineEditorHelper.kt)	W4-java-io;W4-java-lang	W4
com/maddyhome/idea/vim/action/motion/leftright/MotionBackspaceAction.kt	jvmMain	transitive(+1 via com/maddyhome/idea/vim/api/EngineEditorHelper.kt)	W4-java-io;W4-java-lang	W4
com/maddyhome/idea/vim/action/motion/leftright/MotionColumnAction.kt	jvmMain	transitive(+1 via com/maddyhome/idea/vim/api/EngineEditorHelper.kt)	W4-java-io;W4-java-lang	W4
com/maddyhome/idea/vim/action/motion/leftright/MotionEndAction.kt	jvmMain	transitive(+1 via com/maddyhome/idea/vim/api/EngineEditorHelper.kt)	W4-java-io;W4-java-lang	W4
com/maddyhome/idea/vim/action/motion/leftright/MotionFirstColumnAction.kt	jvmMain	direct	W4-java-util	W4
com/maddyhome/idea/vim/action/motion/leftright/MotionFirstNonSpaceAction.kt	jvmMain	transitive(+1 via com/maddyhome/idea/vim/api/EngineEditorHelper.kt)	W4-java-io;W4-java-lang	W4
com/maddyhome/idea/vim/action/motion/leftright/MotionFirstScreenColumnAction.kt	jvmMain	transitive(+1 via com/maddyhome/idea/vim/api/EngineEditorHelper.kt)	W4-java-io;W4-java-lang	W4
com/maddyhome/idea/vim/action/motion/leftright/MotionFirstScreenNonSpaceAction.kt	jvmMain	transitive(+1 via com/maddyhome/idea/vim/api/EngineEditorHelper.kt)	W4-java-io;W4-java-lang	W4
com/maddyhome/idea/vim/action/motion/leftright/MotionHomeAction.kt	jvmMain	transitive(+1 via com/maddyhome/idea/vim/api/EngineEditorHelper.kt)	W4-java-io;W4-java-lang	W4
com/maddyhome/idea/vim/action/motion/leftright/MotionLastColumnAction.kt	jvmMain	direct	W4-java-util	W4
com/maddyhome/idea/vim/action/motion/leftright/MotionLastMatchCharAction.kt	jvmMain	transitive(+1 via com/maddyhome/idea/vim/api/EngineEditorHelper.kt)	W4-java-io;W4-java-lang	W4
com/maddyhome/idea/vim/action/motion/leftright/MotionLastNonSpaceAction.kt	jvmMain	transitive(+1 via com/maddyhome/idea/vim/api/EngineEditorHelper.kt)	W4-java-io;W4-java-lang	W4
com/maddyhome/idea/vim/action/motion/leftright/MotionLastScreenColumnAction.kt	jvmMain	transitive(+1 via com/maddyhome/idea/vim/api/EngineEditorHelper.kt)	W4-java-io;W4-java-lang	W4
com/maddyhome/idea/vim/action/motion/leftright/MotionLeftAction.kt	jvmMain	transitive(+1 via com/maddyhome/idea/vim/api/EngineEditorHelper.kt)	W4-java-io;W4-java-lang	W4
com/maddyhome/idea/vim/action/motion/leftright/MotionMiddleColumnAction.kt	jvmMain	transitive(+1 via com/maddyhome/idea/vim/api/EngineEditorHelper.kt)	W4-java-io;W4-java-lang	W4
com/maddyhome/idea/vim/action/motion/leftright/MotionRightAction.kt	jvmMain	transitive(+1 via com/maddyhome/idea/vim/api/EngineEditorHelper.kt)	W4-java-io;W4-java-lang	W4
com/maddyhome/idea/vim/action/motion/leftright/MotionShiftArrowLeftAction.kt	jvmMain	transitive(+1 via com/maddyhome/idea/vim/api/EngineEditorHelper.kt)	W4-java-io;W4-java-lang	W4
com/maddyhome/idea/vim/action/motion/leftright/MotionShiftArrowRightAction.kt	jvmMain	transitive(+1 via com/maddyhome/idea/vim/api/EngineEditorHelper.kt)	W4-java-io;W4-java-lang	W4
com/maddyhome/idea/vim/action/motion/leftright/MotionShiftEndAction.kt	jvmMain	transitive(+1 via com/maddyhome/idea/vim/api/EngineEditorHelper.kt)	W4-java-io;W4-java-lang	W4
com/maddyhome/idea/vim/action/motion/leftright/MotionShiftHomeAction.kt	jvmMain	transitive(+1 via com/maddyhome/idea/vim/api/EngineEditorHelper.kt)	W4-java-io;W4-java-lang	W4
com/maddyhome/idea/vim/action/motion/leftright/MotionSpaceAction.kt	jvmMain	transitive(+1 via com/maddyhome/idea/vim/api/EngineEditorHelper.kt)	W4-java-io;W4-java-lang	W4
com/maddyhome/idea/vim/action/motion/leftright/TillCharacterMotion.kt	jvmMain	transitive(+1 via com/maddyhome/idea/vim/api/EngineEditorHelper.kt)	W4-java-io;W4-java-lang	W4
com/maddyhome/idea/vim/action/motion/mark/MotionGotoFileMarkAction.kt	jvmMain	direct	W4-java-util	W4
com/maddyhome/idea/vim/action/motion/mark/MotionGotoFileMarkLineAction.kt	jvmMain	direct	W4-java-util	W4
com/maddyhome/idea/vim/action/motion/mark/MotionGotoMarkAction.kt	jvmMain	direct	W4-java-util	W4
com/maddyhome/idea/vim/action/motion/mark/MotionGotoMarkLineAction.kt	jvmMain	direct	W4-java-util	W4
com/maddyhome/idea/vim/action/motion/mark/MotionJumpNextAction.kt	jvmMain	transitive(+1 via com/maddyhome/idea/vim/api/EngineEditorHelper.kt)	W4-java-io;W4-java-lang	W4
com/maddyhome/idea/vim/action/motion/mark/MotionJumpPreviousAction.kt	jvmMain	transitive(+1 via com/maddyhome/idea/vim/api/EngineEditorHelper.kt)	W4-java-io;W4-java-lang	W4
com/maddyhome/idea/vim/action/motion/mark/MotionMarkAction.kt	jvmMain	transitive(+1 via com/maddyhome/idea/vim/api/EngineEditorHelper.kt)	W4-java-io;W4-java-lang	W4
com/maddyhome/idea/vim/action/motion/object/MotionAngleAction.kt	jvmMain	transitive(+1 via com/maddyhome/idea/vim/api/EngineEditorHelper.kt)	W4-java-io;W4-java-lang	W4
com/maddyhome/idea/vim/action/motion/object/MotionBlockTagAction.kt	jvmMain	transitive(+1 via com/maddyhome/idea/vim/api/EngineEditorHelper.kt)	W4-java-io;W4-java-lang	W4
com/maddyhome/idea/vim/action/motion/object/MotionParagraphAction.kt	jvmMain	transitive(+1 via com/maddyhome/idea/vim/api/EngineEditorHelper.kt)	W4-java-io;W4-java-lang	W4
com/maddyhome/idea/vim/action/motion/object/MotionQuoteAction.kt	jvmMain	transitive(+1 via com/maddyhome/idea/vim/api/EngineEditorHelper.kt)	W4-java-io;W4-java-lang	W4
com/maddyhome/idea/vim/action/motion/object/MotionSentenceAction.kt	jvmMain	transitive(+1 via com/maddyhome/idea/vim/api/EngineEditorHelper.kt)	W4-java-io;W4-java-lang	W4
com/maddyhome/idea/vim/action/motion/object/MotionWordAction.kt	jvmMain	transitive(+1 via com/maddyhome/idea/vim/api/EngineEditorHelper.kt)	W4-java-io;W4-java-lang	W4
com/maddyhome/idea/vim/action/motion/screen/MotionFirstScreenLineAction.kt	jvmMain	direct	W4-java-util	W4
com/maddyhome/idea/vim/action/motion/screen/MotionLastScreenLineAction.kt	jvmMain	direct	W4-java-util	W4
